"cage::acetate R,R",2ITY,-8.3
"cage::acetate R,R",1H00,-9.5
"cage::acetate R,R",2EUF,-0.8
"cage::acetate R,R",2HYY,-8.2
"cage::acetate R,R",4ASD,-7.9
"cage::acetate R,R",3KRR,-8.7
"cage::acetate R,R",1Q5K,-8.1
"cage::acetate R,R",3GCS,-8.2
"cage::acetate R,R",1HSG,-7.2
"cage::acetate R,R",1OYT,-0.0
"cage::acetate R,R",2P16,-8.4
"cage::acetate R,R",2WJO,-9.4
"cage::acetate R,R",1MEM,-7.6
"cage::acetate R,R",2P8S,-8.4
"cage::acetate R,R",2V0Z,-9.2
"cage::acetate R,R",3NF6,-5.0
"cage::acetate R,R",3ERT,-8.7
"cage::acetate R,R",2AM9,-6.1
"cage::acetate R,R",3BQD,-8.5
"cage::acetate R,R",2PRG,-9.4
"cage::acetate R,R",2RH1,-9.1
"cage::acetate R,R",3EML,-8.8
"cage::acetate R,R",3PBL,-8.7
"cage::acetate R,R",4EY7,-11.6
"cage::acetate R,R",2V60,-8.5
"cage::acetate R,R",3HS4,-9.4
"cage::acetate R,R",3LN1,-9.1
"cage::acetate R,R",1UDT,-9.4
"cage::acetate R,R",3HR1,-8.6
"cage::acetate R,R",1D3G,-8.9
"cage::acetate R,R",1U72,-10.2
"cage::acetate R,R",1HVY,-9.9
"cage::acetate R,R",1UYG,-8.7
"cage::acetate R,R",3MXF,-7.9
"cage::acetate S,S",2ITY,-7.6
"cage::acetate S,S",1H00,-9.5
"cage::acetate S,S",2EUF,-0.8
"cage::acetate S,S",2HYY,-7.7
"cage::acetate S,S",4ASD,-8.1
"cage::acetate S,S",3KRR,-8.6
"cage::acetate S,S",1Q5K,-8.6
"cage::acetate S,S",3GCS,-8.4
"cage::acetate S,S",1HSG,-7.7
"cage::acetate S,S",1OYT,0.0
"cage::acetate S,S",2P16,-8.0
"cage::acetate S,S",2WJO,-9.2
"cage::acetate S,S",1MEM,-7.0
"cage::acetate S,S",2P8S,-8.5
"cage::acetate S,S",2V0Z,-8.9
"cage::acetate S,S",3NF6,-5.4
"cage::acetate S,S",3ERT,-8.3
"cage::acetate S,S",2AM9,-6.1
"cage::acetate S,S",3BQD,-8.6
"cage::acetate S,S",2PRG,-9.0
"cage::acetate S,S",2RH1,-9.5
"cage::acetate S,S",3EML,-8.7
"cage::acetate S,S",3PBL,-9.1
"cage::acetate S,S",4EY7,-10.8
"cage::acetate S,S",2V60,-8.9
"cage::acetate S,S",3HS4,-8.7
"cage::acetate S,S",3LN1,-9.8
"cage::acetate S,S",1UDT,-9.9
"cage::acetate S,S",3HR1,-8.3
"cage::acetate S,S",1D3G,-8.1
"cage::acetate S,S",1U72,-10.2
"cage::acetate S,S",1HVY,-9.6
"cage::acetate S,S",1UYG,-8.4
"cage::acetate S,S",3MXF,-8.0
"cage::deacetyl R,R",2ITY,-8.0
"cage::deacetyl R,R",1H00,-9.9
"cage::deacetyl R,R",2EUF,-0.9
"cage::deacetyl R,R",2HYY,-8.5
"cage::deacetyl R,R",4ASD,-8.7
"cage::deacetyl R,R",3KRR,-9.5
"cage::deacetyl R,R",1Q5K,-8.1
"cage::deacetyl R,R",3GCS,-8.6
"cage::deacetyl R,R",1HSG,-7.6
"cage::deacetyl R,R",1OYT,-0.0
"cage::deacetyl R,R",2P16,-8.9
"cage::deacetyl R,R",2WJO,-9.3
"cage::deacetyl R,R",1MEM,-7.3
"cage::deacetyl R,R",2P8S,-8.6
"cage::deacetyl R,R",2V0Z,-10.1
"cage::deacetyl R,R",3NF6,-5.0
"cage::deacetyl R,R",3ERT,-10.3
"cage::deacetyl R,R",2AM9,-10.1
"cage::deacetyl R,R",3BQD,-9.1
"cage::deacetyl R,R",2PRG,-9.6
"cage::deacetyl R,R",2RH1,-9.4
"cage::deacetyl R,R",3EML,-9.5
"cage::deacetyl R,R",3PBL,-9.6
"cage::deacetyl R,R",4EY7,-11.7
"cage::deacetyl R,R",2V60,-8.3
"cage::deacetyl R,R",3HS4,-9.3
"cage::deacetyl R,R",3LN1,-8.9
"cage::deacetyl R,R",1UDT,-9.6
"cage::deacetyl R,R",3HR1,-9.0
"cage::deacetyl R,R",1D3G,-10.1
"cage::deacetyl R,R",1U72,-9.6
"cage::deacetyl R,R",1HVY,-10.2
"cage::deacetyl R,R",1UYG,-8.6
"cage::deacetyl R,R",3MXF,-8.6
"cage::deacetyl S,S",2ITY,-8.9
"cage::deacetyl S,S",1H00,-9.7
"cage::deacetyl S,S",2EUF,-1.1
"cage::deacetyl S,S",2HYY,-8.3
"cage::deacetyl S,S",4ASD,-9.9
"cage::deacetyl S,S",3KRR,-9.0
"cage::deacetyl S,S",1Q5K,-8.3
"cage::deacetyl S,S",3GCS,-7.9
"cage::deacetyl S,S",1HSG,-8.4
"cage::deacetyl S,S",1OYT,0.0
"cage::deacetyl S,S",2P16,-8.6
"cage::deacetyl S,S",2WJO,-9.1
"cage::deacetyl S,S",1MEM,-7.3
"cage::deacetyl S,S",2P8S,-8.7
"cage::deacetyl S,S",2V0Z,-9.4
"cage::deacetyl S,S",3NF6,-5.3
"cage::deacetyl S,S",3ERT,-8.8
"cage::deacetyl S,S",2AM9,-9.3
"cage::deacetyl S,S",3BQD,-9.6
"cage::deacetyl S,S",2PRG,-9.0
"cage::deacetyl S,S",2RH1,-9.4
"cage::deacetyl S,S",3EML,-8.5
"cage::deacetyl S,S",3PBL,-9.6
"cage::deacetyl S,S",4EY7,-11.6
"cage::deacetyl S,S",2V60,-10.5
"cage::deacetyl S,S",3HS4,-8.5
"cage::deacetyl S,S",3LN1,-9.5
"cage::deacetyl S,S",1UDT,-10.2
"cage::deacetyl S,S",3HR1,-8.9
"cage::deacetyl S,S",1D3G,-8.3
"cage::deacetyl S,S",1U72,-10.0
"cage::deacetyl S,S",1HVY,-10.0
"cage::deacetyl S,S",1UYG,-8.0
"cage::deacetyl S,S",3MXF,-7.9
CHEMBL68920,2ITY,-9.0
CHEMBL68920,2ITY,-9.0
CHEMBL69960,2ITY,-9.8
CHEMBL69960,2ITY,-9.8
CHEMBL76589,2ITY,-6.2
CHEMBL304271,2ITY,inf
CHEMBL136491,2ITY,-7.5
CHEMBL133024,2ITY,-7.5
CHEMBL138125,2ITY,-8.1
CHEMBL137364,2ITY,-7.9
CHEMBL260416,1H00,-9.5
CHEMBL84944,1H00,-9.3
CHEMBL419720,1H00,inf
CHEMBL260163,1H00,-9.2
CHEMBL427909,1H00,-9.4
CHEMBL407981,1H00,-9.3
CHEMBL259838,1H00,-9.5
CHEMBL408019,1H00,-9.4
CHEMBL260417,1H00,-9.4
CHEMBL84436,1H00,-8.7
CHEMBL428690,2EUF,-0.8
CHEMBL210540,2EUF,-0.8
CHEMBL141247,2EUF,-0.9
CHEMBL215803,2EUF,-1.1
CHEMBL189963,2EUF,-0.7
CHEMBL215803,2EUF,-1.1
